PGC,Name,RAJ2000,DEJ2000,TT,Bmag,Ksmag,logK,HRV,VLS,Dist,e_Dist,PGC1,CF3
1214845,"PGC1214845",157.1791,2.0635,9.0,17.02,15.03,8.09,2061,1872,,,1214845,0
30832,"UGC05677",157.1592,3.5604,8.0,13.5,12.43,8.57,1155,974,20.8,25,30832,1
30684,"NGC3246",156.6743,3.8619,7.9,13.17,11.23,9.65,2139,1958,36.98,21,30684,1
3357980,"2MASXJ10315596+0400122",157.9833,4.0033,,17.67,14.87,8.46,2809,2630,,,3357980,0
30852,"PGC030852",157.2004,4.2341,4.5,15.32,14.15,8.49,2142,1964,,,30852,0
31037,"UGC05708",157.8049,4.4719,6.6,12.92,10.69,9.28,1176,999,20.32,14,31037,1
5059116,"AGC208397",159.7421,3.8742,,,17.2,6.22,763,585,,,5059116,0
3358164,"SDSSJ104247.04+043152.0",160.6961,4.5311,,20.07,16.25,8.03,3213,3039,,,3358164,0
5059118,"AGC208399",160.0446,4.9089,,19.44,17.5,6.08,747,574,,,5059118,0
31467,"PGC031467",159.1491,5.9105,2.0,14.11,11.37,10.06,3505,3336,,,31467,0
3467760,"SDSSJ104105.09+062453.5",160.2713,6.4149,,17.26,14.48,8.81,3489,3323,,,3467760,0
1256137,"PGC1256137",154.2595,3.646,,17.0,14.07,7.99,1038,855,,,29814,0
3999095,"SDSSJ101659.00+034235.2",154.2459,3.7098,10.0,17.25,14.38,7.86,1229,1046,,,29814,0
29855,"NGC3169",153.562,3.4663,1.2,10.9,7.36,10.67,1238,1054,23.23,9,29814,1
4010552,"SDSSJ101451.51+033852.5",153.7148,3.6479,-5.0,17.7,13.35,8.27,1152,969,,,29814,0
30042,"UGC05551",154.2995,4.3304,9.8,20.33,14.55,7.79,1341,1161,,,29814,0
213680,"PGC213680",154.2877,4.3444,10.0,17.25,14.65,7.75,1308,1128,,,29814,0
30608,"PGC030608",156.4435,5.6524,-5.0,16.05,11.49,8.95,1152,979,,,30608,0
3466489,"SDSSJ103044.29+060737.0",157.6847,6.1261,10.0,16.38,14.3,7.19,640,470,,,3466489,0
30885,"UGC05687",157.3146,6.1279,5.8,13.92,11.7,9.94,3562,3392,48.08,18,30885,1
32812,"PGC032812",163.8025,5.8625,3.2,15.37,12.41,9.64,3498,3333,,,32812,0
32861,"PGC032861",164.0379,6.1728,9.0,14.66,12.31,8.48,1000,837,,,32861,0
32529,"NGC3423",162.8099,5.8399,6.0,11.35,9.11,9.76,1000,834,,,32529,0
1314627,"PGC1314627",165.6405,7.1353,9.0,17.99,15.43,8.38,3268,3111,,,1314627,0
32364,"UGC05923",162.2816,6.9173,0.4,14.07,11.71,8.37,720,558,16.67,25,32364,1
4000041,"SDSSJ105331.16+072742.8",163.3799,7.4619,10.0,17.2,14.68,8.7,3337,3179,,,32661,0
32661,"UGC05999",163.246,7.62,9.9,15.38,14.01,8.97,3395,3237,,,32661,0
1352430,"PGC1352430",162.4875,8.72,,16.84,12.99,9.14,2588,2435,,,1352430,0
4689209,"PGC4689209",165.7575,8.0482,10.0,17.37,15.02,7.72,1359,1207,,,4689209,0
4262841,"SDSSJ110346.81+083420.5",165.9447,8.5721,,18.59,14.99,7.97,1738,1588,,,4262841,0
33981,"PGC033981",167.727,9.6219,3.1,15.19,12.87,8.72,1570,1427,,,33981,0
33905,"PGC033905",167.6049,10.1258,9.0,15.46,12.76,8.59,1305,1165,,,33905,0
33030,"UGC06062",164.6565,9.0504,-2.0,13.62,10.23,10.27,2623,2474,,,33030,0
5065013,"SDSSJ105734.18+091253.3",164.3925,9.2148,,18.07,15.26,8.26,2685,2536,,,33030,0
32708,"UGC06014",163.4279,9.7276,8.0,14.83,12.5,8.57,1133,986,14.0,25,32708,1
5064823,"SDSSJ105400.01+094952.3",163.5001,9.8312,,17.39,14.62,7.73,1189,1042,,,32708,0
33604,"NGC3524",166.6338,11.3854,0.1,13.05,9.68,9.86,1357,1222,,,33604,0
33447,"PGC033447",166.1102,11.7561,10.0,15.02,13.8,7.66,777,643,,,33447,0
4010749,"SDSSJ104445.31+075955.7",161.1888,7.9988,,17.34,14.59,8.48,2538,2380,,,4010749,0
4017582,"SDSSJ103548.98+082859.9",158.9538,8.4813,9.0,16.57,14.6,7.72,1158,1000,,,4017582,0
4689204,"PGC4689204",158.3299,10.1894,10.0,18.93,16.58,7.15,1433,1283,,,4689204,0
31610,"PGC031610",159.5333,10.3808,-1.7,14.7,11.6,8.95,1175,1027,,,31610,0
32605,"NGC3433",163.0161,10.1482,5.3,13.03,9.67,10.51,2704,2558,,,32605,0
4689197,"PGC4689197",163.2529,10.3792,10.0,17.63,15.8,6.83,0,0,,,32256,0
32345,"PGC032345",162.2489,10.8354,8.0,15.77,12.96,8.88,1921,1778,,,32345,0
32257,"PGC032257",161.9746,10.8978,6.0,15.18,11.45,9.81,2797,2654,,,32251,0
83355,"PGC083355",162.4067,11.3516,10.0,17.53,15.5,6.95,0,0,,,32256,0
1388083,"PGC1388083",163.0812,11.0431,-5.0,16.38,12.0,8.35,824,683,,,32256,0
2806988,"PGC2806988",164.5452,11.9973,9.5,18.09,14.3,7.43,0,0,,,32256,0
4000181,"SDSSJ110027.84+113715.1",165.1158,11.621,8.0,17.55,15.35,8.28,2835,2699,,,4000181,0
87256,"PGC087256",164.0579,12.0111,10.0,16.56,14.5,7.04,989,854,,,87256,0
2806987,"PGC2806987",163.9842,12.3391,9.5,17.76,16.0,6.75,847,713,,,32256,0
32251,"UGC05897",161.9228,11.077,5.2,12.99,10.69,10.12,2703,2561,35.65,14,32251,1
4689213,"PGC4689213",161.6249,11.7558,-2.0,18.89,14.8,7.23,0,0,,,32256,0
32192,"NGC3368",161.6904,11.8198,2.2,9.74,6.39,10.6,897,758,10.67,7,32256,1
83352,"PGC083352",162.3612,12.2577,-5.0,17.17,12.57,8.69,1321,1185,,,32306,0
166107,"PGC166107",162.6129,12.3597,10.0,17.86,14.1,7.51,0,0,,,32256,0
3577250,"SDSSJ104856.94+121138.0",162.2373,12.1938,,16.12,12.34,8.79,1318,1182,,,32306,0
32346,"PGC032346",162.2369,12.1951,4.2,15.22,13.26,8.42,1325,1188,,,32306,0
32376,"PGC032376",162.3309,12.3744,9.0,16.88,14.41,7.96,1346,1210,,,32306,0
83348,"PGC083348",162.2702,12.4074,5.4,18.07,14.82,7.79,1365,1230,,,32306,0
32371,"PGC032371",162.3216,12.422,9.0,15.1,12.77,8.61,1383,1248,,,32306,0
4689202,"PGC4689202",161.0325,11.5331,10.0,18.79,16.0,6.75,0,0,,,32256,0
32007,"NGC3351",160.9904,11.7035,3.1,10.14,6.82,10.43,756,616,10.57,6,32256,1
83326,"PGC083326",161.2397,11.9161,10.0,16.61,15.0,7.15,871,732,,,32256,0
83321,"PGC083321",160.644,12.1509,-3.5,18.69,14.3,7.43,0,0,,,32256,0
4689201,"PGC4689201",160.9808,12.1352,10.0,19.04,16.7,6.47,0,0,,,32256,0
83336,"PGC083336",161.672,12.3271,10.0,16.56,12.8,7.72,1030,894,,,83336,0
32306,"NGC3389",162.1164,12.5331,5.3,11.78,9.69,9.84,1308,1173,20.42,14,32306,1
32292,"NGC3384",162.0705,12.6294,-2.7,10.77,6.84,10.42,704,569,10.05,7,32256,1
32256,"NGC3379",161.9566,12.5816,-4.8,10.11,6.35,10.61,911,776,11.22,6,32256,1
4689210,"PGC4689210",161.7216,12.7444,10.0,18.12,16.5,6.55,636,502,,,32256,0
